Columns,Investigate Inconsistencies,Drop Column,Replace Zeros with Null,Replace Values,Lemmatize/Stem,Encode,Encoder,Impute,Imputer,Transform,Transformer,Handle Outliers,Transformer,Normalize Dist,Transformer,,
'Timestamp',n,y,n,n,n,n,,n,,,,n,,n,,,
 'Age',n,n,n,n,n,n,,y,knn,y,Standardize,n,,y,log,,FunctionTransformer > ColumnTransformer > logit
 'Gender',n,y,n,n,n,n,,y,knn,,,,,n,,,FunctionTransformer > ColumnTransformer > exp
 'City',n,n,n,y,n,n,,y,knn,,,,,n,,,
 'Position',n,n,n,n,y,y,,n,,y,NLP > Clustering? TFIDF > get_feature_names_out,,,n,,,
 'Total years of experience',n,n,n,y,n,n,,y,knn,y,Standardize,,,y,log,,
 'Years of experience in Germany',n,n,n,y,,,,,,,,,,,,,
 'Seniority level',,,,,,,,,,,,,,,,,
 'Your main technology / programming language',,,,,,,,,,,,,,,,,
 'Other technologies/programming languages you use often',,,,,,,,,,,,,,,,,
 'Yearly brutto salary (without bonus and stocks) in EUR',,,,,,,,,,,,,,,,,
 'Yearly bonus + stocks in EUR',,,,,,,,,,,,,,,,,
 'Number of vacation days',y,n,y,y,n,n,,y,,y,,y,,y,log,,
 'Employment status',n,y,n,n,n,n,,n,,n,,n,,n,,,
 'Contract duration',n,n,y,n,n,y,,y,,n,,n,,n,,,
 'Main language at work',n,y,n,n,n,n,,n,,n,,n,,n,,,
 'Company size',n,y,n,y,n,y,manual rank map,y,,n,,n,,n,,,
 'Company type',n,n,n,y,n,y,,y,,n,,n,,n,,,
